BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,       6.00 ,   15280.00 ,       43.9 ,      20170 ,      20170
BAR_STOCK   , ---      , ---  ,      70.00 ,      70.00 ,       6.00 ,   35400.02 ,      118.9 ,      53808 ,      53808
BAR_STOCK   , ---      , ---  ,      90.00 ,      90.00 ,       6.00 ,   10000.00 ,       42.4 ,      19200 ,      19200
BAR_STOCK   , ---      , ---  ,     100.00 ,     100.00 ,       6.00 ,    2000.00 ,        9.4 ,       4240 ,       4240
BAR_STOCK   , ---      , ---  ,     120.00 ,     120.00 ,       8.00 ,    3600.00 ,       27.1 ,       9216 ,       9216
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       5.00 ,  212137.80 ,     1059.9 ,     551558 ,     551558
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       6.00 ,   49269.43 ,      295.6 ,     129086 ,     129086
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       8.00 ,   34477.46 ,      275.8 ,      91710 ,      91710
BAR_STOCK   , ---      , ---  ,     140.00 ,     140.00 ,       6.00 ,   16800.01 ,      112.9 ,      49056 ,      49056
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       5.00 ,  103074.10 ,      613.4 ,     319530 ,     319530
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       6.00 ,  209397.64 ,     1507.7 ,     653321 ,     653321
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,      10.00 ,    4920.02 ,       58.5 ,      15744 ,      15744
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,       8.00 ,  118799.99 ,     1478.8 ,     494208 ,     494208
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,      16.00 ,   62732.67 ,     1604.1 ,     271005 ,     271005
BAR_STOCK   , ---      , ---  ,     225.00 ,     225.00 ,       8.00 ,   36234.00 ,      511.8 ,     168850 ,     168850
BAR_STOCK   , ---      , ---  ,     300.00 ,     300.00 ,       8.00 ,    2100.00 ,       39.6 ,      12936 ,      12936
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       4.00 ,       0.00 ,     1765.5 ,     561819 ,    1123638
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       5.00 ,       0.00 ,     4081.7 ,    1039106 ,    2078213
PLATE_STOCK , Other    , ---  ,     396.40 ,     396.40 ,       4.00 ,     214.00 ,        2.7 ,        848 ,       1697
PLATE_STOCK , Other    , ---  ,      75.00 ,      75.00 ,       5.00 ,   11100.00 ,       33.3 ,       8325 ,      16650
PLATE_STOCK , Other    , ---  ,     120.00 ,     120.00 ,       5.00 ,   13634.35 ,       64.8 ,      16361 ,      32722
PLATE_STOCK , Other    , ---  ,     150.80 ,     150.80 ,       5.00 ,    2870.00 ,       17.0 ,       4328 ,       8656
PLATE_STOCK , Other    , ---  ,     200.00 ,     200.00 ,       5.00 ,    3009.60 ,       23.6 ,       6019 ,      12038
PLATE_STOCK , Other    , ---  ,     230.00 ,     230.00 ,       5.00 ,    1610.00 ,       14.8 ,       3703 ,       7406
PLATE_STOCK , Other    , ---  ,     303.80 ,     303.80 ,       5.00 ,    2471.00 ,       30.0 ,       7507 ,      15014
PLATE_STOCK , Other    , ---  ,     350.00 ,     350.00 ,       5.00 ,    5677.00 ,       79.5 ,      19870 ,      39739
PLATE_STOCK , Other    , ---  ,     364.43 ,     364.43 ,       5.00 ,    3206.00 ,       46.7 ,      11684 ,      23367
PLATE_STOCK , Other    , ---  ,     144.45 ,     144.45 ,       5.00 ,   11599.61 ,       65.8 ,      16756 ,      33511
PLATE_STOCK , Other    , ---  ,     195.79 ,     195.79 ,      10.00 ,    1020.54 ,       16.0 ,       1998 ,       3996
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      10.00 ,    1029.00 ,       16.2 ,       2027 ,       4054
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      10.00 ,    1029.00 ,       16.2 ,       2027 ,       4054
PLATE_STOCK , Other    , ---  ,     195.79 ,     195.79 ,      10.00 ,    1020.54 ,       16.0 ,       1998 ,       3996
HOT_ROLLED  , T80x32   , ---  ,      80.00 ,      80.00 ,       3.20 ,    5565.00 ,       83.6 ,      35616 ,      35616
HOT_ROLLED  , T80x32   , ---  ,      80.00 ,      80.00 ,       3.20 ,    5685.00 ,       85.4 ,      36384 ,      36384
COLD_FORMED , 200C20   , ---  ,      60.00 ,     345.00 ,       2.00 ,    8960.00 ,       48.6 ,      61824 ,      61824
COLD_FORMED , 200Z15   , ---  ,      60.00 ,     345.00 ,       1.50 , 1039514.94 ,     4220.4 ,    7172642 ,    7172642
COLD_FORMED , 200Z18   , ---  ,      60.00 ,     345.00 ,       1.80 ,  236284.52 ,     1150.7 ,    1630361 ,    1630361
COLD_FORMED , 200Z25   , ---  ,      60.00 ,     345.00 ,       2.50 ,   24469.95 ,      165.7 ,     168842 ,     168842
COLD_FORMED , 250Z18   , ---  ,      80.00 ,     448.89 ,       1.80 ,   11434.98 ,       72.6 ,     102661 ,     102661
COLD_FORMED , 250Z25   , ---  ,      80.00 ,     446.80 ,       2.50 ,   22859.96 ,      200.7 ,     204276 ,     204276
PANEL       , 45250 .5 , A2   ,    1000.00 ,    1000.00 ,       0.50 ,  709558.75 ,     3398.8 ,    7095586 ,    7095586
PANEL       , 45250 .5 , A3   ,    1000.00 ,    1000.00 ,       0.50 ,  886083.50 ,     4244.3 ,    8860835 ,    8860835
TRIM        ,          , --   ,     500.00 ,     501.65 ,       0.40 ,  179200.05 ,      281.3 ,    1795656 ,    1795656
TRIM        ,          , --   ,      50.00 ,     531.81 ,       0.40 ,     600.00 ,        1.0 ,       6385 ,       6385
TRIM        ,          , --   ,     600.00 ,     601.66 ,       0.40 ,   78400.02 ,      147.7 ,     942914 ,     942914
TRIM        ,          , --   ,      50.00 ,    1368.42 ,       0.40 ,   22399.96 ,       96.0 ,     612866 ,     612866
TRIM        ,          , --   ,     200.00 ,    6381.75 ,       0.40 ,     100.00 ,        2.0 ,      12764 ,      12764
TRIM        ,          , A3   ,     300.00 ,     301.63 ,       0.40 ,   16800.00 ,       15.8 ,     101122 ,     101122
TRIM        ,          , A3   ,     710.00 ,    2279.65 ,       0.40 ,   42700.07 ,      305.0 ,    1947067 ,    1947067
TRIM        ,          , HA   ,     300.00 ,     301.63 ,       0.40 ,  128800.04 ,      121.4 ,     775270 ,     775270
TRIM        ,          , HA   ,     300.00 ,     317.50 ,       0.40 ,  128800.04 ,      128.3 ,     819333 ,     819333
TRIM        ,          , HA   ,     400.00 ,     400.05 ,       0.40 ,   16800.00 ,       21.1 ,     134641 ,     134641
TRIM        ,          , HA   ,     215.00 ,     215.00 ,       0.50 ,      50.00 ,        0.0 ,        213 ,        213
TRIM        ,          , HA   ,      50.00 ,     152.40 ,       2.00 ,      50.00 ,        0.1 ,        153 ,        153
TRIM        ,          , HA   ,     200.00 ,     600.08 ,       2.00 ,    6000.00 ,       56.5 ,      71981 ,      71981
ANGLE       , L100X8   , --   ,     100.00 ,     100.00 ,       8.00 ,    2472.02 ,       30.2 ,       9597 ,       9597
ANGLE       , L40X40X4 , RO   ,      39.88 ,      39.88 ,       4.00 ,   83075.27 ,      201.0 ,     127918 ,     127918
ANGLE       , L75X100  , RO   ,     175.00 ,     175.00 ,       2.00 ,   53999.98 ,      169.6 ,     215943 ,     215943
ANGLE       , L75X6    , --   ,      75.00 ,      75.00 ,       6.00 ,   27245.13 ,      186.6 ,      79187 ,      79187
ANGLE       , SROD12   ,      ,      12.00 ,      12.00 ,      12.00 ,  233326.44 ,      252.0 ,      53460 ,      53460
ANGLE       , SROD12   , --   ,      12.00 ,      12.00 ,      12.00 ,  297746.28 ,      145.0 ,      30775 ,      30775
CABLE       , ROD20    , --   ,       0.00 ,       0.00 ,      20.00 ,  240280.00 ,      592.5 ,     150973 ,     150973
BOLT        , AB20     , --   ,       0.00 ,       0.00 ,      20.00 ,     624.99 ,      202.8 ,          0 ,          0
BOLT        , H12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       37.6 ,          0 ,          0
BOLT        , H16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        3.0 ,          0 ,          0
BOLT        , H20X90   , --   ,       0.00 ,       0.00 ,      20.00 ,      89.99 ,      163.4 ,          0 ,          0
BOLT        , M12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       51.8 ,          0 ,          0
SCREW       , 12x20SDS , --   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        2.7 ,          0 ,          0
SCREW       , 12x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       10.9 ,          0 ,          0
SCREW       , 12x20SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       16.3 ,          0 ,          0
SCREW       , 12x20SDS , HA   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        8.2 ,          0 ,          0
SCREW       , 14x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       24.5 ,          0 ,          0
SCREW       , 14x55SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      55.00 ,       21.8 ,          0 ,          0
