 JOB Id  : C323-153-Final                                      Page:  1
 CUSTOMER:                                                     Date: 11/AUG/2025


 Fin Material               Punch
 ish Description   Part     Code    Comment            Qnt Length (mm)    Mark
 --- ------------- -------- ------- ------------------ --- ------------   ------
     200x 60 C   2 200C20           See Drawing DJ-1     2   4480         DJ-1  *

     150x 60 Z   2 150Z15   ?? -??  See Drawing P-1      8   6570          P-1   
     150x 60 Z   2 150Z15   ?? -??  See Drawing P-2     16   6740          P-2   
     150x 60 Z   2 150Z15   ?? -??  See Drawing P-3     16   6895          P-3   
     150x 60 Z   2 150Z15   ?? -??  See Drawing P-4     16   6450          P-4   
     150x 60 Z   2 150Z15   ?? -??  See Drawing P-5     16   6750          P-5   
     150x 60 Z   2 150Z15   ?? -??  See Drawing P-6      8   6620          P-6   
     150x 60 Z   2 150Z15   ?? -??  See Drawing P-7      8   6570          P-7   
     150x 60 Z   2 150Z15   ?? -??  See Drawing P-8      8   6620          P-8   
     250x 80 Z   2 250Z18   ?? -??  See Drawing P-9      1  12235          P-9   
     250x 80 Z   2 250Z18   ?? -??  See Drawing P-10     1  12235          P-10  
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-1      1   6570          E-1   
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-2      2   6740          E-2   
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-3      2   6895          E-3   
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-4      2   6450          E-4   
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-5      2   6750          E-5   
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-6      1   6620          E-6   
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-7      1   6570          E-7   
     150x 60 Z   2 150Z15   ?? -??  See Drawing E-8      1   6620          E-8   
     250x 80 Z   2 250Z18   ?? -??  See Drawing E-9      1  12240          E-9   
     250x 80 Z   2 250Z18   ?? -??  See Drawing E-10     1  12240          E-10  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-1      1  11730          G-1   
     200x 60 Z   2 200Z20   ?? -??  See Drawing G-2      2  11730          G-2   
     200x 60 Z   3 200Z25   ?? -??  See Drawing G-3      4  11730          G-3   
     200x 60 Z   3 200Z25   ?? -??  See Drawing G-4      2  11935          G-4   
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-5      2  11730          G-5   
     200x 60 Z   2 200Z20   ?? -??  See Drawing G-6      4  11730          G-6   
     200x 60 Z   3 200Z25   ?? -??  See Drawing G-7      4  11730          G-7   
     200x 60 Z   3 200Z25   ?? -??  See Drawing G-8      2  11935          G-8   
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-9      2   3066          G-9   
     200x 60 Z   3 200Z25   ?? -??  See Drawing G-10     2  11730          G-10  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-11     1   3980          G-11  
     200x 60 Z   2 200Z18   ?? -??  See Drawing G-12     1   3980          G-12  
     200x 60 Z   2 200Z18   ?? -??  See Drawing G-13     1  11730          G-13  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-14     5   6570          G-14  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-15    10   6740          G-15  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-16    10   6895          G-16  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-17    10   6450          G-17  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-18    10   6750          G-18  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-19     5   6620          G-19  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-20     5   6620          G-20  
     200x 60 Z   2 200Z15   ?? -??  See Drawing G-21     5   6570          G-21  

