BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,       6.00 ,   15280.00 ,       43.9 ,      20170 ,      20170
BAR_STOCK   , ---      , ---  ,      70.00 ,      70.00 ,       6.00 ,   35400.01 ,      118.9 ,      53808 ,      53808
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       5.00 ,  210104.23 ,     1049.4 ,     546271 ,     546271
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       6.00 ,   52115.43 ,      312.7 ,     136542 ,     136542
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       8.00 ,   37310.71 ,      298.5 ,      99246 ,      99246
BAR_STOCK   , ---      , ---  ,     140.00 ,     140.00 ,       6.00 ,   16800.00 ,      112.9 ,      49056 ,      49056
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       5.00 ,  115873.30 ,      688.8 ,     359207 ,     359207
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       6.00 ,  217804.59 ,     1568.2 ,     679550 ,     679550
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,      10.00 ,    4800.05 ,       57.0 ,      15360 ,      15360
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,      16.00 ,   63773.34 ,     1630.2 ,     275501 ,     275501
BAR_STOCK   , ---      , ---  ,     225.00 ,     225.00 ,       8.00 ,   22064.00 ,      317.7 ,     102818 ,     102818
BAR_STOCK   , ---      , ---  ,     300.00 ,     300.00 ,       8.00 ,    2100.00 ,       39.6 ,      12936 ,      12936
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       4.00 ,       0.00 ,     1900.8 ,     604865 ,    1209730
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       5.00 ,       0.00 ,     3161.4 ,     804825 ,    1609650
PLATE_STOCK , Other    , ---  ,     371.00 ,     371.00 ,       4.00 ,     214.00 ,        2.5 ,        794 ,       1588
PLATE_STOCK , Other    , ---  ,      75.00 ,      75.00 ,       5.00 ,   13125.00 ,       39.3 ,       9844 ,      19687
PLATE_STOCK , Other    , ---  ,     120.00 ,     120.00 ,       5.00 ,   14054.41 ,       66.8 ,      16865 ,      33731
PLATE_STOCK , Other    , ---  ,     150.80 ,     150.80 ,       5.00 ,    2460.00 ,       14.6 ,       3710 ,       7419
PLATE_STOCK , Other    , ---  ,     230.00 ,     230.00 ,       5.00 ,    1610.00 ,       14.8 ,       3703 ,       7406
PLATE_STOCK , Other    , ---  ,     350.00 ,     350.00 ,       5.00 ,   11032.00 ,      154.4 ,      38612 ,      77224
PLATE_STOCK , Other    , ---  ,     554.95 ,     554.95 ,       5.00 ,   11032.00 ,      244.9 ,      61222 ,     122445
PLATE_STOCK , Other    , ---  ,     144.45 ,     144.45 ,       5.00 ,    3363.50 ,       19.1 ,       4859 ,       9717
PLATE_STOCK , Other    , ---  ,     195.79 ,     195.79 ,      10.00 ,    1749.50 ,       27.4 ,       3425 ,       6851
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      10.00 ,    1764.00 ,       27.8 ,       3475 ,       6950
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      10.00 ,     294.00 ,        4.6 ,        579 ,       1158
PLATE_STOCK , Other    , ---  ,     195.79 ,     195.79 ,      10.00 ,     291.58 ,        4.6 ,        571 ,       1142
HOT_ROLLED  , T80x32   , ---  ,      80.00 ,      80.00 ,       3.20 ,    5685.00 ,       85.4 ,      36384 ,      36384
HOT_ROLLED  , T80x32   , ---  ,      80.00 ,      80.00 ,       3.20 ,    5695.00 ,       85.5 ,      36448 ,      36448
COLD_FORMED , 200C20   , ---  ,      60.00 ,     345.00 ,       2.00 ,    8960.00 ,       48.6 ,      61824 ,      61824
COLD_FORMED , 150Z15   , ---  ,      60.00 ,     294.00 ,       1.50 ,  720448.50 ,     2500.0 ,    4236230 ,    4236230
COLD_FORMED , 200Z15   , ---  ,      60.00 ,     345.00 ,       1.50 ,  445551.13 ,     1808.9 ,    3074298 ,    3074298
COLD_FORMED , 200Z18   , ---  ,      60.00 ,     345.00 ,       1.80 ,   15709.97 ,       76.5 ,     108399 ,     108399
COLD_FORMED , 200Z20   , ---  ,      60.00 ,     345.00 ,       2.00 ,   70379.86 ,      381.5 ,     485620 ,     485620
COLD_FORMED , 200Z25   , ---  ,      60.00 ,     345.00 ,       2.50 ,  165039.69 ,     1117.3 ,    1138772 ,    1138772
COLD_FORMED , 250Z18   , ---  ,      80.00 ,     448.89 ,       1.80 ,   48949.90 ,      310.8 ,     439461 ,     439461
PANEL       , 45250 .5 , A2   ,    1000.00 ,    1000.00 ,       0.50 ,  738832.88 ,     3539.0 ,    7388329 ,    7388329
PANEL       , 45250 .5 , A3   ,    1000.00 ,    1000.00 ,       0.50 ,  904878.38 ,     4334.4 ,    9048783 ,    9048783
TRIM        ,          , --   ,     500.00 ,     501.65 ,       0.40 ,  179200.05 ,      281.3 ,    1795656 ,    1795656
TRIM        ,          , --   ,      50.00 ,     531.81 ,       0.40 ,     600.00 ,        1.0 ,       6385 ,       6385
TRIM        ,          , --   ,     600.00 ,     601.66 ,       0.40 ,   78400.02 ,      147.7 ,     942914 ,     942914
TRIM        ,          , --   ,      50.00 ,    1368.42 ,       0.40 ,   22399.96 ,       96.0 ,     612866 ,     612866
TRIM        ,          , --   ,     200.00 ,    6381.75 ,       0.40 ,     100.00 ,        2.0 ,      12764 ,      12764
TRIM        ,          , A3   ,     300.00 ,     301.63 ,       0.40 ,   28000.01 ,       26.4 ,     168537 ,     168537
TRIM        ,          , A3   ,     710.00 ,    2279.65 ,       0.40 ,   42700.07 ,      305.0 ,    1947067 ,    1947067
TRIM        ,          , HA   ,     300.00 ,     301.63 ,       0.40 ,  140000.03 ,      132.0 ,     842685 ,     842685
TRIM        ,          , HA   ,     300.00 ,     317.50 ,       0.40 ,  128800.04 ,      128.3 ,     819333 ,     819333
TRIM        ,          , HA   ,     400.00 ,     400.05 ,       0.40 ,   16800.00 ,       21.1 ,     134641 ,     134641
TRIM        ,          , HA   ,     215.00 ,     215.00 ,       0.50 ,      50.00 ,        0.0 ,        213 ,        213
TRIM        ,          , HA   ,      50.00 ,     152.40 ,       2.00 ,      50.00 ,        0.1 ,        153 ,        153
TRIM        ,          , HA   ,     200.00 ,     600.08 ,       2.00 ,    6000.00 ,       56.5 ,      71981 ,      71981
ANGLE       , L100X8   , --   ,     100.00 ,     100.00 ,       8.00 ,   11652.00 ,      142.2 ,      45237 ,      45237
ANGLE       , L40X40X4 , RO   ,      39.88 ,      39.88 ,       4.00 ,   96400.88 ,      233.3 ,     148443 ,     148443
ANGLE       , L75X100  , RO   ,     175.00 ,     175.00 ,       2.00 ,   53999.98 ,      169.6 ,     215943 ,     215943
ANGLE       , L75X6    , --   ,      75.00 ,      75.00 ,       6.00 ,   40227.52 ,      275.6 ,     116919 ,     116919
ANGLE       , SROD12   ,      ,      12.00 ,      12.00 ,      12.00 ,  240112.30 ,      259.3 ,      55015 ,      55015
ANGLE       , SROD12   , --   ,      12.00 ,      12.00 ,      12.00 ,  313748.84 ,      152.9 ,      32436 ,      32436
CABLE       , ROD20    , --   ,       0.00 ,       0.00 ,      20.00 ,  244959.98 ,      604.1 ,     153913 ,     153913
BOLT        , AB20     , --   ,       0.00 ,       0.00 ,      20.00 ,     624.99 ,      202.8 ,          0 ,          0
BOLT        , H12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       42.1 ,          0 ,          0
BOLT        , H16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        3.0 ,          0 ,          0
