BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,       6.00 ,    1600.00 ,        4.5 ,       2112 ,       2112
BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,       8.00 ,    4320.00 ,       16.6 ,       5875 ,       5875
BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,      10.00 ,    2880.00 ,       13.8 ,       4032 ,       4032
BAR_STOCK   , ---      , ---  ,      70.00 ,      70.00 ,       6.00 ,   12000.01 ,       40.3 ,      18240 ,      18240
BAR_STOCK   , ---      , ---  ,     100.00 ,     100.00 ,      10.00 ,     400.00 ,        3.1 ,        880 ,        880
BAR_STOCK   , ---      , ---  ,     120.00 ,     120.00 ,       6.00 ,    6400.00 ,       36.2 ,      16128 ,      16128
BAR_STOCK   , ---      , ---  ,     120.00 ,     120.00 ,       8.00 ,    2400.00 ,       18.1 ,       6144 ,       6144
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       5.00 ,  120646.37 ,      601.4 ,     313681 ,     313681
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       6.00 ,   24878.14 ,      149.3 ,      65181 ,      65181
BAR_STOCK   , ---      , ---  ,     140.00 ,     140.00 ,       6.00 ,   12400.00 ,       82.6 ,      36208 ,      36208
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       5.00 ,   22114.00 ,      132.4 ,      68553 ,      68553
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       6.00 ,   85164.82 ,      613.2 ,     265714 ,     265714
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       8.00 ,  121005.61 ,     1155.7 ,     382378 ,     382378
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,      10.00 ,    4502.00 ,       53.6 ,      14406 ,      14406
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,       8.00 ,   29466.00 ,      370.4 ,     122579 ,     122579
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,      10.00 ,     832.08 ,       13.1 ,       3495 ,       3495
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,      16.00 ,   24372.72 ,      621.1 ,     105290 ,     105290
BAR_STOCK   , ---      , ---  ,     225.00 ,     225.00 ,       8.00 ,   15119.99 ,      217.7 ,      70459 ,      70459
BAR_STOCK   , ---      , ---  ,     250.00 ,     250.00 ,      10.00 ,   54040.01 ,     1061.0 ,     281008 ,     281008
BAR_STOCK   , ---      , ---  ,     250.00 ,     250.00 ,      16.00 ,    5656.00 ,      181.0 ,      30090 ,      30090
BAR_STOCK   , ---      , ---  ,     250.00 ,     250.00 ,      20.00 ,    1414.00 ,       56.6 ,       7636 ,       7636
BAR_STOCK   , ---      , ---  ,     300.00 ,     300.00 ,       8.00 ,    1500.00 ,       28.3 ,       9240 ,       9240
BAR_STOCK   , ---      , ---  ,     300.00 ,     300.00 ,      10.00 ,   66000.00 ,     1556.1 ,     409200 ,     409200
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       4.00 ,       0.00 ,     1117.1 ,     355486 ,     710971
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       5.00 ,       0.00 ,     2541.5 ,     647009 ,    1294019
PLATE_STOCK , Other    , ---  ,     345.60 ,     345.60 ,       4.00 ,     856.00 ,        9.4 ,       2958 ,       5917
PLATE_STOCK , Other    , ---  ,      75.00 ,      75.00 ,       5.00 ,    7125.00 ,       21.3 ,       5344 ,      10687
PLATE_STOCK , Other    , ---  ,     120.00 ,     120.00 ,       5.00 ,    7052.73 ,       32.5 ,       8463 ,      16927
PLATE_STOCK , Other    , ---  ,     150.80 ,     150.80 ,       5.00 ,    2255.00 ,       13.4 ,       3401 ,       6801
PLATE_STOCK , Other    , ---  ,     200.00 ,     200.00 ,       5.00 ,    2006.40 ,       15.8 ,       4013 ,       8026
PLATE_STOCK , Other    , ---  ,     230.00 ,     230.00 ,       5.00 ,    1150.00 ,       10.6 ,       2645 ,       5290
PLATE_STOCK , Other    , ---  ,     350.00 ,     350.00 ,       5.00 ,    7559.99 ,      105.8 ,      26460 ,      52920
PLATE_STOCK , Other    , ---  ,     536.48 ,     536.48 ,       5.00 ,    3779.99 ,       81.1 ,      20279 ,      40558
PLATE_STOCK , Other    , ---  ,     536.48 ,     536.48 ,       5.00 ,    3780.00 ,       81.1 ,      20279 ,      40558
PLATE_STOCK , Other    , ---  ,     144.45 ,     144.45 ,       5.00 ,   12069.35 ,       68.5 ,      17434 ,      34868
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      12.00 ,     735.00 ,       13.9 ,       1448 ,       2896
PLATE_STOCK , Other    , ---  ,     196.00 ,     196.00 ,      12.00 ,     730.00 ,       13.7 ,       1431 ,       2862
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      12.00 ,     735.00 ,       13.9 ,       1448 ,       2896
PLATE_STOCK , Other    , ---  ,     196.00 ,     196.00 ,      12.00 ,     730.00 ,       13.7 ,       1431 ,       2862
HOT_ROLLED  , ISMC200  , ---  ,      75.00 ,      75.00 ,       6.20 ,    5980.00 ,      133.4 ,      43845 ,      43845
HOT_ROLLED  , ISMC200  , ---  ,      75.00 ,      75.00 ,       6.20 ,    7180.00 ,      320.2 ,     105287 ,     105287
HOT_ROLLED  , T125x32  , ---  ,     125.00 ,     125.00 ,       3.20 ,    7842.50 ,      188.2 ,      78425 ,      78425
HOT_ROLLED  , T92x36   , ---  ,      91.50 ,      91.50 ,       3.60 ,    6347.50 ,      122.8 ,      46464 ,      46464
COLD_FORMED , 200C20   , ---  ,      60.00 ,     345.00 ,       2.00 ,   24680.01 ,      133.8 ,     170292 ,     170292
COLD_FORMED , 200Z15   , ---  ,      60.00 ,     345.00 ,       1.50 ,  179354.64 ,      728.2 ,    1237545 ,    1237545
COLD_FORMED , 200Z18   , ---  ,      60.00 ,     345.00 ,       1.80 ,  485604.03 ,     2364.9 ,    3350663 ,    3350663
COLD_FORMED , 200Z20   , ---  ,      60.00 ,     345.00 ,       2.00 ,   47329.90 ,      256.5 ,     326576 ,     326576
COLD_FORMED , 200Z25   , ---  ,      60.00 ,     345.00 ,       2.50 ,  132289.72 ,      895.6 ,     912798 ,     912798
COLD_FORMED , 250Z15   , ---  ,      80.00 ,     450.00 ,       1.50 ,   14229.97 ,       75.4 ,     128070 ,     128070
COLD_FORMED , 250Z18   , ---  ,      80.00 ,     448.89 ,       1.80 ,   31529.94 ,      200.2 ,     283068 ,     283068
PANEL       , 45250 .5 , A2   ,    1000.00 ,    1000.00 ,       0.50 ,  524162.81 ,     2510.7 ,    5241628 ,    5241628
PANEL       , 45250 .5 , A3   ,    1000.00 ,    1000.00 ,       0.50 ,  443849.19 ,     2126.0 ,    4438492 ,    4438492
TRIM        ,          , --   ,     500.00 ,     501.65 ,       0.40 ,  179200.05 ,      281.3 ,    1795656 ,    1795656
TRIM        ,          , --   ,      50.00 ,     531.81 ,       0.40 ,     600.00 ,        1.0 ,       6385 ,       6385
TRIM        ,          , --   ,     600.00 ,     601.66 ,       0.40 ,   67200.02 ,      126.6 ,     808212 ,     808212
TRIM        ,          , --   ,      50.00 ,    1368.42 ,       0.40 ,   22399.96 ,       96.0 ,     612866 ,     612866
TRIM        ,          , --   ,     200.00 ,    6381.75 ,       0.40 ,     100.00 ,        2.0 ,      12764 ,      12764
TRIM        ,          , A3   ,     300.00 ,     301.63 ,       0.40 ,   33600.01 ,       31.7 ,     202244 ,     202244
TRIM        ,          , A3   ,     710.00 ,    2279.65 ,       0.40 ,   35700.05 ,      255.0 ,    1627876 ,    1627876
TRIM        ,          , HA   ,     300.00 ,     301.63 ,       0.40 ,  145600.05 ,      137.3 ,     876392 ,     876392
TRIM        ,          , HA   ,     300.00 ,     317.50 ,       0.40 ,   84000.02 ,       83.7 ,     534348 ,     534348
TRIM        ,          , HA   ,     400.00 ,     400.05 ,       0.40 ,   56000.02 ,       70.3 ,     448804 ,     448804
TRIM        ,          , HA   ,     215.00 ,     215.00 ,       0.50 ,      50.00 ,        0.0 ,        213 ,        213
TRIM        ,          , HA   ,      50.00 ,     152.40 ,       2.00 ,      50.00 ,        0.1 ,        153 ,        153
TRIM        ,          , HA   ,     200.00 ,     600.08 ,       2.00 ,    6000.00 ,       56.5 ,      71981 ,      71981
ANGLE       , L100X8   , --   ,     100.00 ,     100.00 ,       8.00 ,    7256.00 ,       88.5 ,      28170 ,      28170
ANGLE       , L40X40X4 , RO   ,      39.88 ,      39.88 ,       4.00 ,   40804.34 ,       98.8 ,      62873 ,      62873
ANGLE       , L75X100  , RO   ,     175.00 ,     175.00 ,       2.00 ,   44999.98 ,      141.3 ,     179953 ,     179953
ANGLE       , L75X6    , --   ,      75.00 ,      75.00 ,       6.00 ,   19351.34 ,      132.6 ,      56244 ,      56244
ANGLE       , SROD12   ,      ,      12.00 ,      12.00 ,      12.00 ,  175517.31 ,      189.6 ,      40215 ,      40215
ANGLE       , SROD12   , --   ,      12.00 ,      12.00 ,      12.00 ,  169063.78 ,       82.4 ,      17478 ,      17478
CABLE       , ROD20    , --   ,       0.00 ,       0.00 ,      20.00 ,  216919.98 ,      534.9 ,     136295 ,     136295
BOLT        , AB20     , --   ,       0.00 ,       0.00 ,      20.00 ,     624.99 ,       13.5 ,          0 ,          0
BOLT        , AB24     , --   ,       0.00 ,       0.00 ,      24.00 ,     730.00 ,      245.6 ,          0 ,          0
BOLT        , H12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       21.3 ,          0 ,          0
BOLT        , H16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        3.6 ,          0 ,          0
BOLT        , H20X90   , --   ,       0.00 ,       0.00 ,      20.00 ,      89.99 ,       90.5 ,          0 ,          0
BOLT        , M12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       44.2 ,          0 ,          0
BOLT        , M16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        0.2 ,          0 ,          0
SCREW       , 12x20SDS , --   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        2.0 ,          0 ,          0
SCREW       , 12x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        8.2 ,          0 ,          0
SCREW       , 12x20SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        9.5 ,          0 ,          0
SCREW       , 12x20SDS , HA   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        7.5 ,          0 ,          0
SCREW       , 14x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       18.4 ,          0 ,          0
SCREW       , 14x55SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      55.00 ,       11.6 ,          0 ,          0
SCREW       , Rivet    , --   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        1.4 ,          0 ,          0
SCREW       , Rivet    , A3   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        2.7 ,          0 ,          0
SCREW       , Rivet    , HA   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        0.7 ,          0 ,          0
