BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,       6.00 ,   15280.00 ,       43.9 ,      20170 ,      20170
BAR_STOCK   , ---      , ---  ,      70.00 ,      70.00 ,       6.00 ,   35400.02 ,      118.9 ,      53808 ,      53808
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       5.00 ,  214633.16 ,     1072.0 ,     558046 ,     558046
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       6.00 ,   49850.61 ,      299.1 ,     130609 ,     130609
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       8.00 ,   35055.88 ,      280.4 ,      93249 ,      93249
BAR_STOCK   , ---      , ---  ,     140.00 ,     140.00 ,       6.00 ,   16800.01 ,      112.9 ,      49056 ,      49056
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       5.00 ,  118203.27 ,      702.8 ,     366430 ,     366430
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       6.00 ,  217800.44 ,     1568.2 ,     679537 ,     679537
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,      10.00 ,     720.05 ,        8.5 ,       2304 ,       2304
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,      16.00 ,   63773.63 ,     1630.2 ,     275502 ,     275502
BAR_STOCK   , ---      , ---  ,     225.00 ,     225.00 ,       8.00 ,   12824.00 ,      184.7 ,      59760 ,      59760
BAR_STOCK   , ---      , ---  ,     300.00 ,     300.00 ,       8.00 ,    2100.00 ,       39.6 ,      12936 ,      12936
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       4.00 ,       0.00 ,     1894.1 ,     602744 ,    1205487
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       5.00 ,       0.00 ,     3151.6 ,     802323 ,    1604646
PLATE_STOCK , Other    , ---  ,     371.00 ,     371.00 ,       4.00 ,     214.00 ,        2.5 ,        794 ,       1588
PLATE_STOCK , Other    , ---  ,      75.00 ,      75.00 ,       5.00 ,   13125.00 ,       39.3 ,       9844 ,      19687
PLATE_STOCK , Other    , ---  ,     120.00 ,     120.00 ,       5.00 ,   14053.29 ,       66.8 ,      16864 ,      33728
PLATE_STOCK , Other    , ---  ,     150.80 ,     150.80 ,       5.00 ,    3075.00 ,       18.2 ,       4637 ,       9274
PLATE_STOCK , Other    , ---  ,     230.00 ,     230.00 ,       5.00 ,    1610.00 ,       14.8 ,       3703 ,       7406
PLATE_STOCK , Other    , ---  ,     350.00 ,     350.00 ,       5.00 ,    6412.00 ,       89.8 ,      22442 ,      44884
PLATE_STOCK , Other    , ---  ,     364.43 ,     364.43 ,       5.00 ,    6412.00 ,       93.5 ,      23367 ,      46734
PLATE_STOCK , Other    , ---  ,     144.45 ,     144.45 ,       5.00 ,   11599.61 ,       65.8 ,      16756 ,      33511
PLATE_STOCK , Other    , ---  ,     195.86 ,     195.86 ,       8.00 ,     291.72 ,        3.7 ,        571 ,       1143
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,       8.00 ,     294.00 ,        3.7 ,        579 ,       1158
PLATE_STOCK , Other    , ---  ,     195.79 ,     195.79 ,      10.00 ,    1020.54 ,       16.0 ,       1998 ,       3996
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      10.00 ,     735.00 ,       11.6 ,       1448 ,       2896
PLATE_STOCK , Other    , ---  ,     195.86 ,     195.86 ,      10.00 ,     729.29 ,       11.4 ,       1428 ,       2857
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      10.00 ,    1029.00 ,       16.2 ,       2027 ,       4054
COLD_FORMED , 200C20   , ---  ,      60.00 ,     345.00 ,       2.00 ,    8960.00 ,       48.6 ,      61824 ,      61824
COLD_FORMED , 150Z15   , ---  ,      60.00 ,     294.00 ,       1.50 ,  720448.50 ,     2500.0 ,    4236230 ,    4236230
COLD_FORMED , 200Z15   , ---  ,      60.00 ,     345.00 ,       1.50 ,  484705.97 ,     1967.9 ,    3344466 ,    3344466
COLD_FORMED , 200Z18   , ---  ,      60.00 ,     345.00 ,       1.80 ,  211864.59 ,     1031.8 ,    1461863 ,    1461863
COLD_FORMED , 200Z20   , ---  ,      60.00 ,     345.00 ,       2.00 ,   24469.95 ,      132.6 ,     168842 ,     168842
COLD_FORMED , 250Z18   , ---  ,      80.00 ,     448.89 ,       1.80 ,   48949.91 ,      310.8 ,     439461 ,     439461
PANEL       , 45250 .5 , A2   ,    1000.00 ,    1000.00 ,       0.50 ,  738832.88 ,     3539.0 ,    7388329 ,    7388329
PANEL       , 45250 .5 , A3   ,    1000.00 ,    1000.00 ,       0.50 ,  904878.38 ,     4334.4 ,    9048783 ,    9048783
TRIM        ,          , --   ,     500.00 ,     501.65 ,       0.40 ,  179200.05 ,      281.3 ,    1795656 ,    1795656
TRIM        ,          , --   ,      50.00 ,     531.81 ,       0.40 ,     600.00 ,        1.0 ,       6385 ,       6385
TRIM        ,          , --   ,     600.00 ,     601.66 ,       0.40 ,   78400.02 ,      147.7 ,     942914 ,     942914
TRIM        ,          , --   ,      50.00 ,    1368.42 ,       0.40 ,   22399.96 ,       96.0 ,     612866 ,     612866
TRIM        ,          , --   ,     200.00 ,    6381.75 ,       0.40 ,     100.00 ,        2.0 ,      12764 ,      12764
TRIM        ,          , A3   ,     300.00 ,     301.63 ,       0.40 ,   28000.01 ,       26.4 ,     168537 ,     168537
TRIM        ,          , A3   ,     710.00 ,    2279.65 ,       0.40 ,   42700.07 ,      305.0 ,    1947067 ,    1947067
TRIM        ,          , HA   ,     300.00 ,     301.63 ,       0.40 ,  140000.03 ,      132.0 ,     842685 ,     842685
TRIM        ,          , HA   ,     300.00 ,     317.50 ,       0.40 ,  128800.04 ,      128.3 ,     819333 ,     819333
TRIM        ,          , HA   ,     400.00 ,     400.05 ,       0.40 ,   16800.00 ,       21.1 ,     134641 ,     134641
TRIM        ,          , HA   ,     215.00 ,     215.00 ,       0.50 ,      50.00 ,        0.0 ,        213 ,        213
TRIM        ,          , HA   ,      50.00 ,     152.40 ,       2.00 ,      50.00 ,        0.1 ,        153 ,        153
TRIM        ,          , HA   ,     200.00 ,     600.08 ,       2.00 ,    6000.00 ,       56.5 ,      71981 ,      71981
ANGLE       , L100X8   , --   ,     100.00 ,     100.00 ,       8.00 ,    3732.00 ,       45.5 ,      14489 ,      14489
ANGLE       , L40X40X4 , RO   ,      39.88 ,      39.88 ,       4.00 ,   94972.38 ,      229.9 ,     146305 ,     146305
ANGLE       , L75X100  , RO   ,     175.00 ,     175.00 ,       2.00 ,   53999.98 ,      169.6 ,     215943 ,     215943
ANGLE       , L75X6    , --   ,      75.00 ,      75.00 ,       6.00 ,   29027.00 ,      198.8 ,      84365 ,      84365
ANGLE       , SROD12   ,      ,      12.00 ,      12.00 ,      12.00 ,  244934.23 ,      264.5 ,      56120 ,      56120
ANGLE       , SROD12   , --   ,      12.00 ,      12.00 ,      12.00 ,  313748.84 ,      152.9 ,      32436 ,      32436
ANGLE       , Z20020   , --   ,     200.00 ,     200.00 ,       2.00 ,   13999.97 ,       75.6 ,      96286 ,      96286
CABLE       , ROD20    , --   ,       0.00 ,       0.00 ,      20.00 ,  242839.95 ,      598.8 ,     152581 ,     152581
BOLT        , AB20     , --   ,       0.00 ,       0.00 ,      20.00 ,     624.99 ,      202.8 ,          0 ,          0
BOLT        , H12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       41.6 ,          0 ,          0
BOLT        , H16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        0.6 ,          0 ,          0
BOLT        , H20X90   , --   ,       0.00 ,       0.00 ,      20.00 ,      89.99 ,      155.3 ,          0 ,          0
BOLT        , M12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       58.8 ,          0 ,          0
SCREW       , 12x20SDS , --   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        2.7 ,          0 ,          0
SCREW       , 12x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       10.9 ,          0 ,          0
SCREW       , 12x20SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       17.0 ,          0 ,          0
SCREW       , 12x20SDS , HA   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        9.5 ,          0 ,          0
SCREW       , 14x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       25.9 ,          0 ,          0
SCREW       , 14x55SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      55.00 ,       23.8 ,          0 ,          0
SCREW       , Rivet    , --   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        1.4 ,          0 ,          0
SCREW       , Rivet    , A3   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        2.7 ,          0 ,          0
SCREW       , Rivet    , HA   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        0.7 ,          0 ,          0
