BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,       6.00 ,   10680.00 ,       30.7 ,      14098 ,      14098
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       5.00 ,  229757.86 ,     1142.8 ,     597370 ,     597370
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       5.00 ,  171151.05 ,     1026.7 ,     530568 ,     530568
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       6.00 ,  126945.45 ,      914.0 ,     396070 ,     396070
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,      10.00 ,    5882.00 ,       70.1 ,      18822 ,      18822
BAR_STOCK   , ---      , ---  ,     175.00 ,     175.00 ,       8.00 ,   29436.00 ,      323.8 ,     107736 ,     107736
BAR_STOCK   , ---      , ---  ,     175.00 ,     175.00 ,      10.00 ,     732.08 ,       10.1 ,       2709 ,       2709
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,      16.00 ,   39079.73 ,      997.6 ,     168824 ,     168824
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       4.00 ,       0.00 ,     1294.9 ,     412083 ,     824165
PLATE_STOCK , Web      , ---  ,       0.00 ,       0.00 ,       5.00 ,       0.00 ,     2031.1 ,     517083 ,    1034166
PLATE_STOCK , Other    , ---  ,     498.00 ,     498.00 ,       4.00 ,     428.00 ,        6.7 ,       2131 ,       4263
PLATE_STOCK , Other    , ---  ,      75.00 ,      75.00 ,       5.00 ,   11700.00 ,       35.0 ,       8775 ,      17550
PLATE_STOCK , Other    , ---  ,     120.00 ,     120.00 ,       5.00 ,    8574.13 ,       39.9 ,      10289 ,      20578
PLATE_STOCK , Other    , ---  ,     150.80 ,     150.80 ,       5.00 ,    2460.00 ,       14.6 ,       3710 ,       7419
PLATE_STOCK , Other    , ---  ,     230.00 ,     230.00 ,       5.00 ,    1610.00 ,       14.8 ,       3703 ,       7406
PLATE_STOCK , Other    , ---  ,     144.45 ,     144.45 ,       5.00 ,    4444.09 ,       25.2 ,       6419 ,      12839
PLATE_STOCK , Other    , ---  ,     197.50 ,     197.50 ,       8.00 ,     295.00 ,        3.7 ,        583 ,       1165
PLATE_STOCK , Other    , ---  ,     197.50 ,     197.50 ,       8.00 ,     295.00 ,        3.7 ,        583 ,       1165
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,       8.00 ,     294.00 ,        3.7 ,        579 ,       1158
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,       8.00 ,     294.00 ,        3.7 ,        579 ,       1158
PLATE_STOCK , Other    , ---  ,     197.50 ,     197.50 ,      10.00 ,    1180.00 ,       18.6 ,       2330 ,       4661
PLATE_STOCK , Other    , ---  ,     197.00 ,     197.00 ,      10.00 ,    1176.00 ,       18.5 ,       2317 ,       4633
