BAR_STOCK   , ---      , ---  ,      60.00 ,      60.00 ,       6.00 ,    4000.00 ,       11.3 ,       5280 ,       5280
BAR_STOCK   , ---      , ---  ,      70.00 ,      70.00 ,       8.00 ,    3680.00 ,       16.5 ,       5741 ,       5741
BAR_STOCK   , ---      , ---  ,      90.00 ,      90.00 ,       8.00 ,    7200.00 ,       41.5 ,      14112 ,      14112
BAR_STOCK   , ---      , ---  ,     100.00 ,     100.00 ,      10.00 ,    7440.00 ,       59.5 ,      16368 ,      16368
BAR_STOCK   , ---      , ---  ,     125.00 ,     125.00 ,       5.00 ,   93807.28 ,      460.6 ,     243899 ,     243899
BAR_STOCK   , ---      , ---  ,     140.00 ,     140.00 ,       5.00 ,   49104.33 ,      275.0 ,     142403 ,     142403
BAR_STOCK   , ---      , ---  ,     140.00 ,     140.00 ,       8.00 ,   70110.04 ,      628.2 ,     207526 ,     207526
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,       5.00 ,   71905.60 ,      430.7 ,     222907 ,     222907
BAR_STOCK   , ---      , ---  ,     150.00 ,     150.00 ,      10.00 ,    3024.00 ,       36.3 ,       9677 ,       9677
BAR_STOCK   , ---      , ---  ,     160.00 ,     160.00 ,       5.00 ,   51383.11 ,      328.9 ,     169564 ,     169564
BAR_STOCK   , ---      , ---  ,     160.00 ,     160.00 ,       6.00 ,   25200.00 ,      193.5 ,      83664 ,      83664
BAR_STOCK   , ---      , ---  ,     175.00 ,     175.00 ,       6.00 ,  123887.37 ,     1040.7 ,     448472 ,     448472
BAR_STOCK   , ---      , ---  ,     175.00 ,     175.00 ,      10.00 ,   59680.01 ,      835.5 ,     220816 ,     220816
BAR_STOCK   , ---      , ---  ,     175.00 ,     175.00 ,      12.00 ,   64296.15 ,     1080.2 ,     240468 ,     240468
BAR_STOCK   , ---      , ---  ,     185.00 ,     185.00 ,       6.00 ,   46530.11 ,      413.2 ,     177745 ,     177745
BAR_STOCK   , ---      , ---  ,     185.00 ,     185.00 ,       8.00 ,   48937.11 ,      579.4 ,     188897 ,     188897
BAR_STOCK   , ---      , ---  ,     200.00 ,     200.00 ,       8.00 ,  117017.62 ,     1497.8 ,     486793 ,     486793
